Sex,Diet,Transport,Vehicle Monthly Distance Km,CarbonEmission
female,pescatarian,public,210,2238
female,vegetarian,walk/bicycle,9,1892
male,omnivore,private,2472,2595
male,omnivore,walk/bicycle,74,1074
female,vegetarian,private,8457,4743
male,vegetarian,public,658,1647
female,vegan,private,5363,1832
female,vegan,walk/bicycle,54,2322
male,omnivore,public,1376,2494
female,pescatarian,public,440,1178
female,vegetarian,public,1561,1427
male,vegetarian,walk/bicycle,69,3226
female,omnivore,walk/bicycle,92,1593
female,vegan,private,2893,1732
male,pescatarian,public,1989,1743
female,vegetarian,public,692,2101
male,pescatarian,walk/bicycle,7,2609
female,pescatarian,public,948,1565
male,vegan,private,7622,5272
female,omnivore,walk/bicycle,51,1220
male,vegan,private,2237,1300
female,pescatarian,public,1804,1024
male,omnivore,walk/bicycle,85,706
male,vegetarian,private,472,2582
male,vegan,private,5737,4284
female,pescatarian,walk/bicycle,88,807
female,vegan,public,558,1991
male,vegetarian,public,752,1817
male,pescatarian,walk/bicycle,71,1490
female,omnivore,public,1028,1561
female,vegan,public,1527,2202
female,vegetarian,walk/bicycle,88,2024
female,pescatarian,walk/bicycle,73,1659
female,pescatarian,private,8320,3911
male,vegetarian,walk/bicycle,72,1204
female,vegan,walk/bicycle,9,2431
male,vegetarian,walk/bicycle,60,1640
male,vegan,walk/bicycle,13,1648
male,omnivore,walk/bicycle,32,1002
female,pescatarian,walk/bicycle,49,1771
female,omnivore,public,1351,2028
female,vegetarian,public,1726,2540
female,omnivore,public,1021,1386
female,pescatarian,walk/bicycle,62,1679
male,omnivore,private,9488,3141
male,vegetarian,public,1037,2627
male,pescatarian,private,9555,1188
male,pescatarian,private,9031,3174
female,vegetarian,public,1461,2327
female,vegan,walk/bicycle,39,1822
female,vegan,private,5033,2665
male,vegan,public,1065,2129
male,pescatarian,public,927,1425
male,vegetarian,private,2277,1690
female,omnivore,walk/bicycle,97,1717
male,vegan,private,7272,4060
female,vegetarian,private,5260,3262
female,pescatarian,public,1750,1674
male,vegetarian,private,2998,3135
male,pescatarian,private,9147,4465
male,pescatarian,public,1947,1984
female,vegetarian,private,4885,3246
female,omnivore,walk/bicycle,20,1351
male,vegetarian,walk/bicycle,23,1929
male,omnivore,walk/bicycle,34,2719
female,vegetarian,walk/bicycle,59,2336
female,vegetarian,public,682,1270
female,vegetarian,walk/bicycle,10,1803
female,vegan,walk/bicycle,10,1816
male,omnivore,private,7964,4638
female,omnivore,private,3606,1909
male,vegan,public,536,2021
male,omnivore,public,1564,1896
male,vegan,walk/bicycle,78,1770
female,omnivore,walk/bicycle,98,1323
female,pescatarian,public,1820,2269
male,vegan,public,243,1918
female,vegan,public,1586,2477
female,omnivore,walk/bicycle,11,1444
female,vegetarian,walk/bicycle,72,1254
male,vegetarian,public,1157,1411
male,pescatarian,public,1380,1605
male,vegetarian,private,5765,3054
female,vegetarian,walk/bicycle,92,2902
male,pescatarian,private,7797,4301
female,vegan,walk/bicycle,50,2308
female,vegetarian,private,7629,4132
male,vegetarian,private,2367,2993
female,omnivore,private,3960,3098
female,vegan,walk/bicycle,42,1364
female,omnivore,private,6455,2941
female,vegetarian,walk/bicycle,41,1349
female,pescatarian,walk/bicycle,71,1038
male,vegetarian,walk/bicycle,39,1815
female,vegetarian,walk/bicycle,50,2566
female,vegan,private,8707,2439
female,pescatarian,private,167,2056
female,pescatarian,public,631,2299
male,vegan,public,194,1492
female,omnivore,walk/bicycle,46,1692
male,vegetarian,walk/bicycle,37,2581
male,vegetarian,walk/bicycle,31,950
male,vegan,private,2880,1923
female,pescatarian,walk/bicycle,6,1751
female,pescatarian,walk/bicycle,40,2562
male,vegan,walk/bicycle,1,2456
female,vegetarian,public,1341,657
female,pescatarian,public,393,1758
female,vegan,public,191,2184
female,pescatarian,public,131,3009
male,omnivore,private,1419,3748
female,vegan,private,9159,1122
male,vegetarian,private,8016,2810
female,omnivore,walk/bicycle,87,1346
female,vegan,walk/bicycle,3,671
female,omnivore,walk/bicycle,13,1695
female,omnivore,walk/bicycle,74,810
female,pescatarian,private,7743,2768
female,vegan,public,993,1033
female,omnivore,public,1997,2046
female,omnivore,private,2721,2171
female,vegetarian,walk/bicycle,5,1312
male,vegan,public,941,1209
male,vegan,private,8815,4017
female,pescatarian,private,3276,877
male,vegan,private,3309,1856
male,pescatarian,private,2623,2197
female,omnivore,private,7915,4281
male,vegan,private,8897,3480
female,vegetarian,walk/bicycle,19,953
male,omnivore,private,3662,2046
male,vegan,private,611,2521
male,omnivore,public,1431,3551
male,pescatarian,public,1978,1459
male,vegan,walk/bicycle,92,2492
male,omnivore,walk/bicycle,82,2411
female,pescatarian,public,1851,2761
female,vegetarian,public,1224,1500
male,pescatarian,private,8219,1708
female,omnivore,public,1390,1717
male,vegan,public,434,2135
male,vegan,private,7460,2042
female,vegan,walk/bicycle,15,1221
male,vegetarian,private,4686,3473
female,vegetarian,walk/bicycle,88,1378
female,pescatarian,walk/bicycle,40,2135
male,pescatarian,walk/bicycle,56,1464
female,vegan,walk/bicycle,14,2816
male,vegan,public,108,2210
female,omnivore,private,5168,1552
male,vegan,private,672,2406
female,vegan,walk/bicycle,94,3004
female,vegetarian,private,3114,2540
female,vegetarian,private,7134,2424
female,vegan,private,8609,4000
female,omnivore,public,852,1288
male,vegetarian,public,1673,2317
female,vegetarian,public,1564,2730
female,vegan,walk/bicycle,74,1371
female,omnivore,private,2885,2349
male,vegan,private,8130,4536
female,vegetarian,public,228,2987
female,vegetarian,public,1162,1039
male,pescatarian,public,71,1036
female,omnivore,private,6337,3620
male,vegan,public,1649,1009
female,omnivore,private,6159,2895
male,omnivore,private,9884,4294
male,vegan,private,4060,3429
female,omnivore,walk/bicycle,68,1334
male,pescatarian,walk/bicycle,5,3697
female,pescatarian,public,702,1494
male,vegan,walk/bicycle,2,2779
female,omnivore,walk/bicycle,42,993
female,omnivore,public,274,1944
female,omnivore,public,590,1474
male,vegetarian,private,84,1880
female,pescatarian,private,6908,3535
female,omnivore,walk/bicycle,52,1644
female,vegetarian,private,121,1268
male,omnivore,walk/bicycle,30,1529
male,vegan,public,1336,2076
male,omnivore,walk/bicycle,89,1850
male,pescatarian,public,1412,1000
male,vegetarian,walk/bicycle,4,1485
female,pescatarian,public,1924,1139
female,pescatarian,walk/bicycle,64,682
male,vegan,private,8659,926
female,pescatarian,walk/bicycle,82,1037
female,vegan,walk/bicycle,31,1467
male,omnivore,private,5230,914
female,omnivore,public,450,1741
male,vegetarian,public,441,2742
female,vegetarian,private,6160,2988
female,vegan,walk/bicycle,35,2160
male,pescatarian,walk/bicycle,57,3098
male,vegetarian,walk/bicycle,7,2764
male,pescatarian,private,5469,2335
female,pescatarian,walk/bicycle,6,1462
male,omnivore,public,21,2356
male,vegetarian,public,1127,1731
female,omnivore,walk/bicycle,7,1162
female,vegetarian,private,6028,1884
male,vegan,private,1669,1505
male,pescatarian,public,1972,1252
female,omnivore,public,684,1360
male,omnivore,walk/bicycle,13,3824
male,vegan,private,8061,4580
female,vegan,private,2544,2833
male,vegetarian,walk/bicycle,46,1131
male,pescatarian,public,62,2382
male,vegan,private,4447,2649
male,pescatarian,private,4303,2706
male,vegan,private,3176,3045
male,pescatarian,private,7255,3134
male,vegan,walk/bicycle,62,3619
male,omnivore,private,6254,5013
female,vegan,walk/bicycle,93,2443
female,omnivore,walk/bicycle,86,488
male,pescatarian,public,357,2409
male,vegan,private,8725,7159
male,vegetarian,public,1753,2670
female,omnivore,walk/bicycle,45,2321
male,vegan,public,292,1574
female,vegetarian,public,1739,2471
male,omnivore,walk/bicycle,2,2541
female,omnivore,walk/bicycle,38,2298
male,pescatarian,public,970,1445
male,vegan,private,8616,4240
male,pescatarian,public,635,2650
female,omnivore,private,2914,1033
male,pescatarian,walk/bicycle,92,990
female,vegan,walk/bicycle,67,937
female,pescatarian,private,6972,3483
female,pescatarian,private,9812,6515
male,omnivore,public,1057,2929
male,pescatarian,private,3295,2377
female,omnivore,walk/bicycle,97,1252
female,omnivore,private,9705,1874
female,vegan,private,3105,1579
male,omnivore,walk/bicycle,6,974
male,vegetarian,walk/bicycle,34,2607
male,pescatarian,public,1328,2054
male,omnivore,public,779,1662
female,vegan,public,913,1463
female,pescatarian,private,5464,1143
male,pescatarian,private,3912,2790
female,omnivore,walk/bicycle,89,2629
female,omnivore,private,4359,2338
female,pescatarian,private,7873,3984
male,pescatarian,public,374,1253
female,vegetarian,public,1218,1480
